gvkey,company_name,date,year,quarter,cds_spread,cds_spread_lead_4q,future_cds_change_abs,future_cds_change_pct,distress_flag
7241,CVS Health Corporation,2023-06-30,2023,2,62.9923,52.558400000000006,-10.433899999999994,-0.16563770492584004,0.0
7241,CVS Health Corporation,2023-09-30,2023,3,57.9391,58.133100000000006,0.19400000000000261,0.0033483433467209984,0.0
7241,CVS Health Corporation,2023-12-31,2023,4,59.6484,72.30425,12.655849999999994,0.2121741739929318,0.0
7241,CVS Health Corporation,2024-03-31,2024,1,46.35863333333333,,,,
7241,CVS Health Corporation,2024-06-30,2024,2,52.558400000000006,,,,
7241,CVS Health Corporation,2024-09-30,2024,3,58.133100000000006,,,,
7241,CVS Health Corporation,2024-12-31,2024,4,72.30425,,,,
7241,CVS Health Corporation,2025-03-31,2025,1,,,,,
7241,CVS Health Corporation,2025-06-30,2025,2,,,,,
7241,CVS Health Corporation,2025-09-30,2025,3,,,,,
7257,Merck & Co.,2010-03-31,2010,1,51.529500000000006,52.9146,1.3850999999999942,0.02687974849358123,0.0
7257,Merck & Co.,2010-06-30,2010,2,55.7969,56.117700000000006,0.3208000000000055,0.005749423355061043,0.0
7257,Merck & Co.,2010-09-30,2010,3,51.18483333333333,67.0879,15.903066666666675,0.31069880726387067,1.0
7257,Merck & Co.,2010-12-31,2010,4,50.28776666666667,73.0503,22.762533333333323,0.452645540698102,1.0
7257,Merck & Co.,2011-03-31,2011,1,52.9146,68.44263333333333,15.528033333333333,0.2934546105107727,1.0
7257,Merck & Co.,2011-06-30,2011,2,56.117700000000006,59.11416666666667,2.996466666666663,0.053396106160207256,0.0
7257,Merck & Co.,2011-09-30,2011,3,67.0879,58.1727,-8.915200000000006,-0.13288834499216706,0.0
7257,Merck & Co.,2011-12-31,2011,4,73.0503,52.17836666666667,-20.871933333333324,-0.2857200221399957,0.0
7257,Merck & Co.,2012-03-31,2012,1,68.44263333333333,46.52283333333333,-21.919800000000002,-0.3202652927342071,0.0
7257,Merck & Co.,2012-06-30,2012,2,59.11416666666667,43.31553333333333,-15.798633333333342,-0.26725629784174704,0.0
7257,Merck & Co.,2012-09-30,2012,3,58.1727,43.0811,-15.0916,-0.25942753215855546,0.0
7257,Merck & Co.,2012-12-31,2012,4,52.17836666666667,37.5112,-14.667166666666667,-0.28109669971782686,0.0
7257,Merck & Co.,2013-03-31,2013,1,46.52283333333333,31.04113333333333,-15.4817,-0.33277637862411646,0.0
7257,Merck & Co.,2013-06-30,2013,2,43.31553333333333,27.46166666666667,-15.853866666666658,-0.366008806694442,0.0
7257,Merck & Co.,2013-09-30,2013,3,43.0811,24.663,-18.4181,-0.42752158138951885,0.0
7257,Merck & Co.,2013-12-31,2013,4,37.5112,23.25133333333333,-14.259866666666671,-0.3801495731052771,0.0
7257,Merck & Co.,2014-03-31,2014,1,31.04113333333333,20.8787,-10.162433333333333,-0.32738602757201735,0.0
7257,Merck & Co.,2014-06-30,2014,2,27.46166666666667,21.114500000000003,-6.347166666666666,-0.23112823936396185,0.0
7257,Merck & Co.,2014-09-30,2014,3,24.663,19.639666666666667,-5.023333333333333,-0.20367892524564463,0.0
7257,Merck & Co.,2014-12-31,2014,4,23.25133333333333,20.71506666666667,-2.5362666666666627,-0.10908048283969361,0.0
7257,Merck & Co.,2015-03-31,2015,1,20.8787,22.435233333333333,1.5565333333333342,0.07455125718235973,0.0
7257,Merck & Co.,2015-06-30,2015,2,21.114500000000003,25.91863333333333,4.804133333333326,0.2275276863450863,0.0
7257,Merck & Co.,2015-09-30,2015,3,19.639666666666667,27.43603333333333,7.796366666666664,0.39697041701318747,1.0
7257,Merck & Co.,2015-12-31,2015,4,20.71506666666667,28.940066666666667,8.224999999999998,0.3970539961252034,1.0
7257,Merck & Co.,2016-03-31,2016,1,22.435233333333333,30.44813333333333,8.012899999999998,0.3571569718463666,1.0
7257,Merck & Co.,2016-06-30,2016,2,25.91863333333333,31.7722,5.853566666666673,0.22584395524969836,0.0
7257,Merck & Co.,2016-09-30,2016,3,27.43603333333333,29.85546666666667,2.4194333333333375,0.08818451646921766,0.0
7257,Merck & Co.,2016-12-31,2016,4,28.940066666666667,29.37173333333333,0.43166666666666487,0.014915883630767892,0.0
7257,Merck & Co.,2017-03-31,2017,1,30.44813333333333,29.405600000000003,-1.0425333333333278,-0.03423964687490403,0.0
7257,Merck & Co.,2017-06-30,2017,2,31.7722,29.8907,-1.8815000000000026,-0.05921843624300497,0.0
7257,Merck & Co.,2017-09-30,2017,3,29.85546666666667,29.2725,-0.5829666666666675,-0.019526295575126414,0.0
7257,Merck & Co.,2017-12-31,2017,4,29.37173333333333,29.164566666666666,-0.20716666666666583,-0.007053266632771616,0.0
7257,Merck & Co.,2018-03-31,2018,1,29.405600000000003,31.75486666666667,2.349266666666665,0.0798918119904598,0.0
7257,Merck & Co.,2018-06-30,2018,2,29.8907,29.480866666666667,-0.4098333333333315,-0.013711065091594761,0.0
7257,Merck & Co.,2018-09-30,2018,3,29.2725,30.114775,0.8422750000000008,0.028773592962678306,0.0
7257,Merck & Co.,2018-12-31,2018,4,29.164566666666666,36.66786666666667,7.503300000000003,0.25727452376571125,1.0
7257,Merck & Co.,2019-03-31,2019,1,31.75486666666667,36.5866,4.831733333333329,0.15215725463603463,0.0
7257,Merck & Co.,2019-06-30,2019,2,29.480866666666667,42.4335,12.952633333333335,0.4393572780537886,1.0
7257,Merck & Co.,2019-09-30,2019,3,30.114775,37.89033333333333,7.775558333333329,0.25819745733890853,1.0
