iqt,date,cds_spread
IQT127280715,2019-07-31,118.374
IQT127280715,2019-08-30,114.5704
IQT127280715,2019-09-29,139.1138
IQT127280715,2019-10-29,121.1416
IQT127280715,2019-11-28,117.2536
IQT127280715,2019-12-28,101.1188
IQT127280715,2020-01-27,116.2882
IQT127280715,2020-02-26,128.9781
IQT127280715,2020-03-27,463.7365
IQT127280715,2020-04-26,349.3971
IQT127280715,2020-05-26,253.78
IQT127280715,2020-06-25,201.3081
IQT127280715,2020-07-25,176.6487
IQT127280715,2020-08-24,137.3944
IQT127280715,2020-09-23,145.7259
IQT127280715,2020-10-23,126.4581
IQT127280715,2020-11-22,97.9307
IQT127280715,2020-12-22,102.2025
IQT127280715,2021-01-21,89.8368
IQT127280715,2021-02-20,97.0639
IQT127280715,2021-03-22,111.1544
IQT127280715,2021-04-21,98.9408
IQT127280715,2021-05-21,101.7249
IQT127280715,2021-06-20,88.6737
IQT127280715,2021-07-20,96.0574
IQT127280715,2021-08-19,97.3737
IQT127280715,2021-09-18,89.5013
IQT127280715,2021-10-18,91.5667
IQT127280715,2021-11-17,92.0757
IQT127280715,2021-12-17,97.9748
IQT127280715,2022-01-16,94.3745
IQT127280715,2022-02-15,127.4614
IQT127280715,2022-03-17,166.6676
IQT127280715,2022-04-16,199.1809
IQT127280715,2022-05-16,234.1653
IQT127280715,2022-06-15,256.4837
IQT127280715,2022-07-15,256.8273
IQT127280715,2022-08-14,175.6652
IQT127280715,2022-09-13,184.8842
IQT127280715,2022-10-13,253.5573
IQT127280715,2022-11-12,183.9572
IQT127280715,2022-12-12,197.7216
IQT127280715,2023-01-11,196.4222
IQT127280715,2023-02-10,168.1516
IQT127280715,2023-03-12,190.5695
IQT127280715,2023-04-11,208.8887
IQT127280715,2023-05-11,219.071
IQT127280715,2023-06-10,180.8316
IQT127280715,2023-07-10,161.723
IQT127280715,2023-08-09,169.0164
IQT127280715,2023-09-08,178.926
IQT127280715,2023-10-08,194.751
IQT127280715,2023-11-07,182.5152
IQT127280715,2023-12-07,160.9272
IQT127280715,2024-01-06,154.9904
IQT127280715,2024-02-05,128.2847
IQT127280715,2024-03-06,112.0595
IQT127280715,2024-04-05,105.718
IQT127280715,2024-05-05,100.3995
IQT127280715,2024-06-04,104.1662
IQT127280715,2024-07-04,105.1591
IQT127280715,2024-08-03,134.0592
IQT127280715,2024-09-02,105.6185
IQT127280715,2024-10-02,133.4629
IQT127280715,2024-11-01,107.0863
IQT127280715,2024-12-01,99.2572
IQT127280715,2024-12-31,101.2702
IQT128692061,2013-09-30,246.6674
IQT128692061,2013-10-30,194.4092
IQT128692061,2013-11-29,184.1015
IQT128692061,2013-12-29,181.0522
IQT128692061,2014-01-28,186.1509
IQT128692061,2014-02-27,185.8872
IQT128692061,2014-03-29,184.2576
IQT128692061,2014-04-28,177.0197
IQT128692061,2014-05-28,167.2967
IQT128692061,2014-06-27,161.4367
IQT128692061,2014-07-27,185.0456
IQT128692061,2014-08-26,190.4633
IQT128692061,2014-09-25,199.8743
IQT128692061,2014-10-25,220.8824
IQT128692061,2014-11-24,175.0493
IQT128692061,2014-12-24,183.9921
IQT128692061,2015-01-23,193.5862
IQT128692061,2015-02-22,156.3227
IQT128692061,2015-03-24,169.3766
IQT128692061,2015-04-23,172.6451
IQT128692061,2015-05-23,184.6895
IQT128692061,2015-06-22,200.4502
IQT128692061,2015-07-22,162.9184
IQT128692061,2015-08-21,230.8717
IQT128692061,2015-09-20,257.8698
IQT128692061,2015-10-20,335.6294
IQT128692061,2015-11-19,318.8105
IQT128692061,2015-12-19,301.1635
IQT128692061,2016-01-18,430.9795
IQT128692061,2016-02-17,429.6577
IQT128692061,2016-03-18,286.9546
IQT128692061,2016-04-17,331.3706
IQT128692061,2016-05-17,291.3307
IQT128692061,2016-06-16,313.9338
IQT128692061,2016-07-16,272.1847
IQT128692061,2016-08-15,243.2394
IQT128692061,2016-09-14,234.0268
IQT128692061,2016-10-14,274.158
IQT128692061,2016-11-13,259.4712
IQT128692061,2016-12-13,201.4536
IQT128692061,2017-01-12,193.1311
IQT128692061,2017-02-11,185.4318
IQT128692061,2017-03-13,170.2811
IQT128692061,2017-04-12,170.7599
IQT128692061,2017-05-12,144.9066
IQT128692061,2017-06-11,135.7717
IQT128692061,2017-07-11,90.5012
IQT128692061,2017-08-10,84.2634
IQT128692061,2017-09-09,84.0139
IQT128692061,2017-10-09,89.2777
IQT128692061,2017-11-08,77.2923
IQT128692061,2017-12-08,70.3601
IQT128692061,2018-01-07,61.8971
IQT128692061,2018-02-06,57.5929
IQT128692061,2018-03-08,66.8029
IQT128692061,2018-04-07,84.2318
IQT128692061,2018-05-07,82.2129
IQT128692061,2018-06-06,98.3467
IQT128692061,2018-07-06,127.0562
IQT128692061,2018-08-05,120.9843
IQT128692061,2018-09-04,98.4182
IQT128692061,2018-10-04,99.5667
IQT128692061,2018-11-03,107.3522
IQT128692061,2018-12-03,132.8107
IQT128692061,2019-01-02,141.2757
IQT128692061,2019-02-01,110.7985
IQT128692061,2019-03-03,88.8271
IQT128692061,2019-04-02,85.4904
IQT128692061,2019-05-02,77.5136
IQT128692061,2019-06-01,111.1734
IQT128692061,2019-07-01,91.713
IQT128692061,2019-07-31,86.0059
IQT128692061,2019-08-30,84.6374
IQT128692061,2019-09-29,93.0575
IQT128692061,2019-10-29,100.0405
IQT128692061,2019-11-28,90.5563
IQT128692061,2019-12-28,84.4176
IQT128692061,2020-01-27,86.4655
IQT128692061,2020-02-26,94.9222
IQT128692061,2020-03-27,214.5009
IQT128692061,2020-04-26,228.0291
IQT128692061,2020-05-26,207.3446
IQT128692061,2020-06-25,146.6224
IQT128692061,2020-07-25,114.8575
IQT128692061,2020-08-24,98.9202
IQT128692061,2020-09-23,105.7057
IQT128692061,2020-10-23,107.6559
IQT128692061,2020-11-22,81.7859
IQT128692061,2020-12-22,84.7313
IQT128692061,2021-01-21,85.018
